objectid,parentid,title,display_template,type,format,object_location,image_small,image_thumb,creator,recipient,publisher,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,item_information,language,rights,rightsstatement,image_alt_text,object_transcript,related_publication
cbd0001,,1980 In Review,record,"Image;StillImage, Text",,"The Church of the Beloved Disciple Archive, Fisher Lab, Loyola Marymount University",,,"Anderson, Scott",,The ADVOCATE,1981-01-22,,Story in the Advocate (pages 15-18) recounting highlights from 1980. The year in review includes a brief mention of John Darcy Noble's consecration as a bishop. An image of Noble is printed on page 18. ,"Gay activists; Gay rights, Gay Liberation Movement; New York (N.Y.); New York (State); Robert Clement; John Darcy Noble; Church of the Beloved Disciple; ",,,,"CBD, Box 2",,single-document; newspaper clipping ,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Fisher Lab, Loyola Marymount University. For other uses beyond free use, please contact Fisher Lab at FisherLab@lmu.edu",https://rightsstatements.org/vocab/InC-EDU/1.0/,historic sepia photograph depicting a formal brick and stone building in the College Gothic style,,
cbd0002,,Original Sin Revisited: A Dirty Old Atheist Goes to a Gay Mass,item,"Image;StillImage, Text",,"The Church of the Beloved Disciple Archive, Fisher Lab, Loyola Marymount University",,,"Hampten, Thane",,GAY,1970-11-9,,Story in GAY (pages 4-5) recounting a journalists visit to the Church of the Beloved Disciple.,"Gay activists; Gay rights, Gay Liberation Movement; New York (N.Y.); New York (State); Robert Clement; John Darcy Noble; Church of the Beloved Disciple; ",,,,"CBD, Box 2",good_news_06,multiple-page; 2 pages; newspaper clipping,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,historic colorized postcard depicting a formal building with a large central tower in the French Renaissance revival style,,
cbd0003,,Gay and Proud,video,"MovingImage; Image, Sound",film/video/mp4,http://d2osek5pf4af91.cloudfront.net/archive_objects/video/gay_and_proud.mp4,,,"Kameny, Frank; Rivera, Sylvia; Vincenz, Lilli; Witt, Clifton R.",,,1970,,"A documentary short film featuring one of the earliest gay pride demonstration marches, the first Christopher Street Liberation Day March, held in New York, New York, on June 28, 1970, to commemorate the first anniversary of the Stonewall Riots. Covering about fifty blocks and drawing just a few thousand participants, it and marches like it held the same year in Chicago, San Francisco, and Los Angeles eventually led to hundreds of Pride parades throughout the world in the following decades.","Documentary Films; Nonfiction Films; Short Films; Gay activists; Gay rights, Gay Liberation Movement; Gay pride day; Gay pride parades; Christopher Street liberation day; New York; New York (State); Demonstrations -- New York (N.Y.); Demonstrations -- New York (State) -- New York; Robert Clement; John Darcy Noble; Church of the Beloved Disciple; ","New York, NY",40.7718,-73.9748,"Lilli M. Vincenz Collection, Library of Congress, https://lccn.loc.gov/2024603228",https://hdl.loc.gov/loc.mbrsmi/ntscrm.01991430,documentary film; mp4,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Credit Line: Library of Congress, Motion Picture, Broadcasting, and Recorded Sound Division.",https://rightsstatements.org/vocab/InC-EDU/1.0/,"portrait of a thoughtful man in a suit, with the text 'the amazing story of Psychiana' in green letters below",,
cbd0004,,Gay and Proud excerpts,video,"MovingImage; Image, Sound",film/video/mov,http://d2osek5pf4af91.cloudfront.net/archive_objects/video/gay_and_proud_excerpts.mov,,,"Kameny, Frank; Rivera, Sylvia; Vincenz, Lilli; Witt, Clifton R.",,,1970,,"Excerpts featuring Fr. Robert Mary Clement and John Darcy Noble's participation in the first Christopher Street Liberation Day March. Clips taken from a documentary short film featuring one of the earliest gay pride demonstration marches, the first Christopher Street Liberation Day March, held in New York, New York, on June 28, 1970, to commemorate the first anniversary of the Stonewall Riots. Covering about fifty blocks and drawing just a few thousand participants, it and marches like it held the same year in Chicago, San Francisco, and Los Angeles eventually led to hundreds of Pride parades throughout the world in the following decades.","Documentary Films; Nonfiction Films; Short Films; Gay activists; Gay rights, Gay Liberation Movement; Gay pride day; Gay pride parades; Christopher Street liberation day; New York; New York (State); Demonstrations -- New York (N.Y.); Demonstrations -- New York (State) -- New York; Robert Clement; John Darcy Noble; Church of the Beloved Disciple; ","New York, NY",40.7718,-73.9748,"Library of Congress, https://www.loc.gov/item/2024603228/",https://hdl.loc.gov/loc.mbrsmi/ntscrm.01991430,documentary film; mov,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Credit Line: Library of Congress, Motion Picture, Broadcasting, and Recorded Sound Division.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Excerpts of Clement and Noble from time 03:28-03:35 and 10:09-10:24 in the original documentary.,"[crowd chanting] 

Reporter: What is the American Church? 
Clement: It’s a sacramental catholic church devoted to the needs of gay people. It’s a homophile community.

[crowds chanting]

[voice over from an interview with another parade participant…]",
cbd0005,,"Fr. Clement ""Gay People this is Your Church""",image,"Image;StillImage, Text",image/jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/NYpubliclibrary02.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/NYpubliclibrary02.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/NYpubliclibrary02.jpeg,"Davies, Diana",,,1970-06-28,,"Photograph of Robert Mary Clement in the first Christopher Street Liberation Day Parade holding a sign ""Gay People this is Your Church""","Gay activists; Gay rights, Gay Liberation Movement; Gay pride day; Gay pride parades; Christopher Street liberation day; New York; New York (State); Demonstrations -- New York (N.Y.); Demonstrations -- New York (State) -- New York; Robert Clement; John Darcy Noble; Church of the Beloved Disciple; ","“Gay-In” in Central Park's Sheep Meadow, New York, NY",40.7718,-73.9748,"Manuscripts and Archives Division, The New York Public Library. ""Christopher Street Liberation Day, 1970"" New York Public Library Digital Collections. ",NYpubliclibrary02.jpeg,single-page; photograph,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,https://rightsstatements.org/vocab/InC-EDU/1.0/,,,
cbd0006,," ""Gay People this is Your Church"" sign over crowd",image,"Image;StillImage, Text",application/pdf,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/NYpubliclibrary01.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/NYpubliclibrary01.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/NYpubliclibrary01.jpeg,"Davies, Diana",,,1970-06-28,,"“Gay-In” in Central Park's Sheep Meadow, New York, NY following the Christopher Street Liberation Day Parade. Sign over the crowd reads ""Gay People this is Your Church""","Gay activists; Gay rights, Gay Liberation Movement; Gay pride day; Gay pride parades; Christopher Street liberation day; New York; New York (State); Demonstrations -- New York (N.Y.); Demonstrations -- New York (State) -- New York; Robert Clement; John Darcy Noble; Church of the Beloved Disciple; ","“Gay-In” in Central Park's Sheep Meadow, New York, NY",40.7718,-73.9748,"Manuscripts and Archives Division, The New York Public Library. ""Christopher Street Liberation Day, 1970"" New York Public Library Digital Collections. ",NYpubliclibrary01.jpeg,single-page; offers,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,https://rightsstatements.org/vocab/InC-EDU/1.0/,man standing with pump machinery next to a river with trees and mountains in the distance,,
cbd0007,,Archbishop Clement: Courage & Activism,video,"MovingImage; Image, Sound",film/video,https://youtu.be/mniIV6E0-kM?si=E1EnX08bhnMV0W7a,,,"Clement, Robert Mary",,,2020-10-16,,Archbishop Robert Mary Clement reminisces about his days in the gay liberation movement of the late 1960s and compares that struggle to today's social justice protests in Trump's America. ,"Gay activists; Gay rights, Gay Liberation Movement; Gay pride day; Gay pride parades; Robert Clement; Trump; activism","Hollywood, CA",34.100125,-118.327570,"YouTube, https://youtu.be/mniIV6E0-kM?si=E1EnX08bhnMV0W7a",,YouTube video,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Fisher Lab, Loyola Marymount University. For other uses beyond free use, please contact Fisher Lab at FisherLab@lmu.edu",https://rightsstatements.org/vocab/InC-EDU/1.0/,,,none
cbd0008,,"Letter from R. Harold ""Bud"" Clark to Bishop Clement",pdf,Text,application/pdf,http://d2osek5pf4af91.cloudfront.net/archive_objects/documents/cbd_letter_1001.pdf,http://d2osek5pf4af91.cloudfront.net/archive_objects/documents/cbd_letter_1001.pdf,http://d2osek5pf4af91.cloudfront.net/archive_objects/documents/cbd_letter_1001.pdf,"Clark, R. Harold ""Bud""",Robert Mary Clement,,1977-12-29,,"Letter from R. Harold ""Bud"" Clark to Bishop Clement","Gay activists; Gay rights, Gay Liberation Movement; New York (N.Y.); New York (State); Robert Clement; Church of the Beloved Disciple; queer spirituality",,,,"CBD, Box 3",cbd_letter_1001.pdf,mulitple-page; 2 pages; letter,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Fisher Lab, Loyola Marymount University. For other uses beyond free use, please contact Fisher Lab at FisherLab@lmu.edu",https://rightsstatements.org/vocab/InC-EDU/1.0/,,,
cbd0009,,Christmas Card,multiple,record,multiple,,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/christmas_card_1a.png,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/christmas_card_1a.png,"Clement, Robert Mary; Noble, John Darcy",,,,yes,Christmas card from Robert Mary Clement and John Darcy Noble,New York (N.Y.); New York (State); Robert Clement; John Darcy Noble; Church of the Beloved Disciple; ,,,,"CBD, Box 4",christmas_card.png,mulitple-page; 3 pages; Christma card,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Fisher Lab, Loyola Marymount University. For other uses beyond free use, please contact Fisher Lab at FisherLab@lmu.edu",https://rightsstatements.org/vocab/InC-EDU/1.0/,,,
cbd0010,cbd0009,Christmas card cover,image,Image;StillImage,image/png,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/christmas_card_1a.png,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/christmas_card_1a.png,http://d2osek5pf4af91.cloudfront.net/archive_objects/images/christmas_card_1a.png,,,,,,,,,,,,,,,,,,,
